Security,AMZN US Equity,
Start Date,10/04/2020 00:00,
End Date,04/04/2025 00:00,
Period,W,
Currency,USD,
,,
Date,PX_LAST,PX_BID
04/04/2025,171,170.98
28/03/2025,192.72,192.63
21/03/2025,196.21,196.16
14/03/2025,197.95,197.93
07/03/2025,199.25,199.24
28/02/2025,212.28,212.11
21/02/2025,216.58,216.48
14/02/2025,228.68,228.64
07/02/2025,229.15,229.14
31/01/2025,237.68,237.57
24/01/2025,234.85,234.81
17/01/2025,225.94,225.95
10/01/2025,218.94,218.87
03/01/2025,224.19,224.13
27/12/2024,223.75,223.8
20/12/2024,224.92,225.22
13/12/2024,227.46,227.42
06/12/2024,227.03,227.03
29/11/2024,207.89,207.89
22/11/2024,197.12,197.06
15/11/2024,202.61,202.53
08/11/2024,208.18,208.24
01/11/2024,197.93,197.86
25/10/2024,187.83,187.81
18/10/2024,188.99,188.95
11/10/2024,188.82,188.82
04/10/2024,186.51,186.51
27/09/2024,187.97,187.86
20/09/2024,191.6,191.6
13/09/2024,186.49,186.44
06/09/2024,171.39,171.42
30/08/2024,178.5,178.48
23/08/2024,177.04,177
16/08/2024,177.06,177.04
09/08/2024,166.94,166.94
02/08/2024,167.9,167.8
26/07/2024,182.5,182.53
19/07/2024,183.13,183.1
12/07/2024,194.49,194.44
05/07/2024,200,199.98
28/06/2024,193.25,193.34
21/06/2024,189.08,189.01
14/06/2024,183.66,183.65
07/06/2024,184.3,184.26
31/05/2024,176.44,176.44
24/05/2024,180.75,180.73
17/05/2024,184.7,184.7
10/05/2024,187.48,187.44
03/05/2024,186.21,186.24
26/04/2024,179.62,179.61
19/04/2024,174.63,174.58
12/04/2024,186.13,186.15
05/04/2024,185.07,184.93
29/03/2024,180.38,180.24
22/03/2024,178.87,178.85
15/03/2024,174.42,174.42
08/03/2024,175.35,175.31
01/03/2024,178.22,178.22
23/02/2024,174.99,174.94
16/02/2024,169.51,169.5
09/02/2024,174.45,174.52
02/02/2024,171.81,171.8
26/01/2024,159.12,159.07
19/01/2024,155.34,155.32
12/01/2024,154.62,154.6
05/01/2024,145.24,145.23
29/12/2023,151.94,151.94
22/12/2023,153.42,153.44
15/12/2023,149.97,149.65
08/12/2023,147.42,147.41
01/12/2023,147.03,146.96
24/11/2023,146.74,146.72
17/11/2023,145.18,145.17
10/11/2023,143.56,143.56
03/11/2023,138.6,138.53
27/10/2023,127.74,127.77
20/10/2023,125.17,125.12
13/10/2023,129.79,129.81
06/10/2023,127.96,127.94
29/09/2023,127.12,127.11
22/09/2023,129.12,129.08
15/09/2023,140.39,140.4
08/09/2023,138.23,138.22
01/09/2023,138.12,138.13
25/08/2023,133.26,133.22
18/08/2023,133.22,133.22
11/08/2023,138.41,138.45
04/08/2023,139.57,139.57
28/07/2023,132.21,132.19
21/07/2023,130,129.89
14/07/2023,134.68,134.71
07/07/2023,129.78,129.76
30/06/2023,130.36,130.28
23/06/2023,129.33,129.33
16/06/2023,125.49,125.53
09/06/2023,123.43,123.46
02/06/2023,124.25,124.29
26/05/2023,120.11,120.08
19/05/2023,116.25,116.26
12/05/2023,110.26,110.26
05/05/2023,105.655,105.65
28/04/2023,105.45,105.47
21/04/2023,106.96,106.97
14/04/2023,102.51,102.53
07/04/2023,102.06,102.04
31/03/2023,103.29,103.28
24/03/2023,98.13,98.15
17/03/2023,98.95,98.95
10/03/2023,90.73,90.73
03/03/2023,94.9,94.89
24/02/2023,93.5,93.49
17/02/2023,97.2,97.19
10/02/2023,97.61,97.58
03/02/2023,103.39,103.35
27/01/2023,102.24,102.24
20/01/2023,97.25,97.18
13/01/2023,98.12,98.1
06/01/2023,86.08,86.03
30/12/2022,84,83.98
23/12/2022,85.25,85.26
16/12/2022,87.86,87.74
09/12/2022,89.09,89.09
02/12/2022,94.13,94.11
25/11/2022,93.41,93.44
18/11/2022,94.14,94.15
11/11/2022,100.79,100.78
04/11/2022,90.98,90.99
