Security,BNDX US Equity,
Start Date,10/04/2024 00:00,
End Date,10/04/2025 00:00,
Period,D,
Currency,USD,
,,
Date,FUND_NET_ASSET_VAL,PX_LAST
10/04/2025,#N/A N/A,49.0084
09/04/2025,48.51,48.77
08/04/2025,48.91,48.96
07/04/2025,48.98,48.86
04/04/2025,49.15,49.08
03/04/2025,48.97,49
02/04/2025,48.76,48.82
01/04/2025,48.74,48.83
31/03/2025,48.73,48.82
28/03/2025,48.72,48.82
27/03/2025,48.59,48.65
26/03/2025,48.58,48.62
25/03/2025,48.54,48.62
24/03/2025,48.58,48.61
21/03/2025,48.6,48.66
20/03/2025,48.57,48.69
19/03/2025,48.62,48.72
18/03/2025,48.54,48.57
17/03/2025,48.49,48.54
14/03/2025,48.38,48.46
13/03/2025,48.42,48.48
12/03/2025,48.38,48.41
11/03/2025,48.34,48.33
10/03/2025,48.46,48.5
07/03/2025,48.39,48.49
06/03/2025,48.47,48.49
05/03/2025,48.53,48.61
04/03/2025,48.91,48.93
03/03/2025,49.16,49.33
28/02/2025,49.37,49.5
27/02/2025,49.29,49.33
26/02/2025,49.3,49.38
25/02/2025,49.21,49.28
24/02/2025,49.01,49.09
21/02/2025,49.12,49.2
20/02/2025,48.9,48.97
19/02/2025,48.89,48.99
18/02/2025,48.98,49.05
14/02/2025,49.13,49.18
13/02/2025,49.17,49.28
12/02/2025,49,49.07
11/02/2025,49.13,49.2
10/02/2025,49.25,49.37
07/02/2025,49.27,49.31
06/02/2025,49.27,49.38
05/02/2025,49.29,49.38
04/02/2025,49.18,49.29
03/02/2025,49.18,49.22
31/01/2025,49.08,49.17
30/01/2025,49.02,49.12
29/01/2025,48.9,48.98
28/01/2025,48.94,48.99
27/01/2025,48.91,48.99
24/01/2025,48.78,48.88
23/01/2025,48.83,48.91
22/01/2025,48.89,48.93
21/01/2025,48.89,48.97
17/01/2025,48.78,48.9
16/01/2025,48.73,48.79
15/01/2025,48.62,48.72
14/01/2025,48.34,48.42
13/01/2025,48.44,48.51
10/01/2025,48.48,48.53
08/01/2025,48.66,48.74
07/01/2025,48.75,48.83
06/01/2025,48.86,48.96
03/01/2025,48.89,48.96
02/01/2025,48.99,49.09
31/12/2024,49.01,49.05
30/12/2024,48.99,49.07
27/12/2024,48.86,48.91
26/12/2024,49.02,49.12
24/12/2024,49.01,49.09
23/12/2024,50,50.04
20/12/2024,50.05,50.15
19/12/2024,50,50.03
18/12/2024,50.13,50.07
17/12/2024,50.18,50.28
16/12/2024,50.23,50.29
13/12/2024,50.2,50.29
12/12/2024,50.31,50.31
11/12/2024,50.47,50.56
10/12/2024,50.52,50.54
09/12/2024,50.47,50.57
06/12/2024,50.51,50.61
05/12/2024,50.47,50.55
04/12/2024,50.53,50.61
03/12/2024,50.45,50.51
02/12/2024,50.46,50.55
29/11/2024,50.44,50.55
27/11/2024,50.18,50.3
26/11/2024,50.15,50.23
25/11/2024,50.1,50.25
22/11/2024,50,50.04
21/11/2024,49.82,49.92
20/11/2024,49.82,49.88
19/11/2024,49.87,49.94
18/11/2024,49.86,49.94
15/11/2024,49.87,49.96
14/11/2024,49.84,49.87
13/11/2024,49.68,49.78
12/11/2024,49.73,49.82
11/11/2024,49.9,49.93
08/11/2024,49.82,49.89
07/11/2024,49.62,49.76
06/11/2024,49.61,49.65
05/11/2024,49.69,49.79
04/11/2024,49.67,49.78
01/11/2024,49.6,49.69
31/10/2024,49.8,49.82
30/10/2024,49.73,49.79
29/10/2024,49.9,49.98
28/10/2024,49.95,50.04
25/10/2024,49.94,49.98
24/10/2024,49.97,50.02
23/10/2024,49.86,49.93
22/10/2024,49.88,49.96
21/10/2024,49.92,49.98
