Security,EURUSD BGN Curncy
Start Date,10/04/2020 00:00
End Date,04/04/2025 00:00
Period,W
Pricing Source,BGN
,
Date,PX_LAST
04/04/2025,1.0956
28/03/2025,1.0828
21/03/2025,1.0818
14/03/2025,1.0879
07/03/2025,1.0833
28/02/2025,1.0375
21/02/2025,1.0458
14/02/2025,1.0492
07/02/2025,1.0328
31/01/2025,1.0362
24/01/2025,1.0497
17/01/2025,1.0273
10/01/2025,1.0244
03/01/2025,1.0308
27/12/2024,1.0426
20/12/2024,1.043
13/12/2024,1.0501
06/12/2024,1.0568
29/11/2024,1.0577
22/11/2024,1.0418
15/11/2024,1.054
08/11/2024,1.0718
01/11/2024,1.0834
25/10/2024,1.0796
18/10/2024,1.0867
11/10/2024,1.0937
04/10/2024,1.0974
27/09/2024,1.1162
20/09/2024,1.1162
13/09/2024,1.1075
06/09/2024,1.1084
30/08/2024,1.1048
23/08/2024,1.1192
16/08/2024,1.1027
09/08/2024,1.0917
02/08/2024,1.0911
26/07/2024,1.0856
19/07/2024,1.0882
12/07/2024,1.0907
05/07/2024,1.084
28/06/2024,1.0713
21/06/2024,1.0693
14/06/2024,1.0703
07/06/2024,1.0801
31/05/2024,1.0848
24/05/2024,1.0847
17/05/2024,1.0869
10/05/2024,1.0771
03/05/2024,1.0761
26/04/2024,1.0693
19/04/2024,1.0656
12/04/2024,1.0643
05/04/2024,1.0837
29/03/2024,1.079
22/03/2024,1.0808
15/03/2024,1.0889
08/03/2024,1.0939
01/03/2024,1.0837
23/02/2024,1.0821
16/02/2024,1.0777
09/02/2024,1.0784
02/02/2024,1.0788
26/01/2024,1.0853
19/01/2024,1.0898
12/01/2024,1.0951
05/01/2024,1.0943
29/12/2023,1.1039
22/12/2023,1.1014
15/12/2023,1.0895
08/12/2023,1.0763
01/12/2023,1.0884
24/11/2023,1.0939
17/11/2023,1.0915
10/11/2023,1.0686
03/11/2023,1.0731
27/10/2023,1.0565
20/10/2023,1.0594
13/10/2023,1.051
06/10/2023,1.0586
29/09/2023,1.0573
22/09/2023,1.0653
15/09/2023,1.0657
08/09/2023,1.07
01/09/2023,1.078
25/08/2023,1.0796
18/08/2023,1.0873
11/08/2023,1.0949
04/08/2023,1.1006
28/07/2023,1.1016
21/07/2023,1.1124
14/07/2023,1.1228
07/07/2023,1.0967
30/06/2023,1.0909
23/06/2023,1.0894
16/06/2023,1.0937
09/06/2023,1.0749
02/06/2023,1.0708
26/05/2023,1.0723
19/05/2023,1.0805
12/05/2023,1.0849
05/05/2023,1.1019
28/04/2023,1.1019
21/04/2023,1.0986
14/04/2023,1.0992
07/04/2023,1.0905
31/03/2023,1.0839
24/03/2023,1.076
17/03/2023,1.067
10/03/2023,1.0643
03/03/2023,1.0635
24/02/2023,1.0548
17/02/2023,1.0695
10/02/2023,1.0678
03/02/2023,1.0795
27/01/2023,1.0868
20/01/2023,1.0856
13/01/2023,1.083
06/01/2023,1.0644
30/12/2022,1.0705
23/12/2022,1.0617
16/12/2022,1.0586
09/12/2022,1.054
02/12/2022,1.0535
25/11/2022,1.0395
18/11/2022,1.0325
11/11/2022,1.0347
04/11/2022,0.9957
28/10/2022,0.9965
21/10/2022,0.9862
14/10/2022,0.9722
07/10/2022,0.9744
30/09/2022,0.9802
23/09/2022,0.9687
16/09/2022,1.0016
09/09/2022,1.0042
02/09/2022,0.9954
26/08/2022,0.9966
19/08/2022,1.0037
12/08/2022,1.0259
05/08/2022,1.0183
29/07/2022,1.022
22/07/2022,1.0213
15/07/2022,1.008
08/07/2022,1.0185
01/07/2022,1.0414
24/06/2022,1.0553
17/06/2022,1.0499
10/06/2022,1.0519
03/06/2022,1.0719
27/05/2022,1.0735
20/05/2022,1.0564
13/05/2022,1.0412
06/05/2022,1.0551
29/04/2022,1.0545
22/04/2022,1.079
15/04/2022,1.081
08/04/2022,1.0877
01/04/2022,1.1043
25/03/2022,1.0983
