Security,DAX Index,
Start Date,10/04/2020 00:00,
End Date,04/04/2025 00:00,
Period,W,
Currency,EUR,
,,
Date,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST
04/04/2025,20641.72,20641.72
28/03/2025,22461.52,22461.52
21/03/2025,22891.68,22891.68
14/03/2025,22986.82,22986.82
07/03/2025,23008.94,23008.94
28/02/2025,22551.43,22551.43
21/02/2025,22287.56,22287.56
14/02/2025,22513.42,22513.42
07/02/2025,21787,21787
31/01/2025,21732.05,21732.05
24/01/2025,21394.93,21394.93
17/01/2025,20903.39,20903.39
10/01/2025,20214.79,20214.79
03/01/2025,19906.08,19906.08
27/12/2024,19984.32,19984.32
20/12/2024,19884.75,19884.75
13/12/2024,20405.92,20405.92
06/12/2024,20384.61,20384.61
29/11/2024,19626.45,19626.45
22/11/2024,19322.59,19322.59
15/11/2024,19210.81,19210.81
08/11/2024,19215.48,19215.48
01/11/2024,19254.97,19254.97
25/10/2024,19463.59,19463.59
18/10/2024,19657.37,19657.37
11/10/2024,19373.83,19373.83
04/10/2024,19120.93,19120.93
27/09/2024,19473.63,19473.63
20/09/2024,18720.01,18720.01
13/09/2024,18699.4,18699.4
06/09/2024,18301.9,18301.9
30/08/2024,18906.92,18906.92
23/08/2024,18633.1,18633.1
16/08/2024,18322.4,18322.4
09/08/2024,17722.88,17722.88
02/08/2024,17661.22,17661.22
26/07/2024,18417.55,18417.55
19/07/2024,18171.93,18171.93
12/07/2024,18748.18,18748.18
05/07/2024,18475.45,18475.45
28/06/2024,18235.45,18235.45
21/06/2024,18163.52,18163.52
14/06/2024,18002.02,18002.02
07/06/2024,18557.27,18557.27
31/05/2024,18497.94,18497.94
24/05/2024,18693.37,18693.37
17/05/2024,18704.42,18704.42
10/05/2024,18772.85,18772.85
03/05/2024,18001.6,18001.6
26/04/2024,18161.01,18161.01
19/04/2024,17737.36,17737.36
12/04/2024,17930.32,17930.32
05/04/2024,18175.04,18175.04
29/03/2024,18492.49,18492.49
22/03/2024,18205.94,18205.94
15/03/2024,17936.65,17936.65
08/03/2024,17814.51,17814.51
01/03/2024,17735.07,17735.07
23/02/2024,17419.33,17419.33
16/02/2024,17117.44,17117.44
09/02/2024,16926.5,16926.5
02/02/2024,16918.21,16918.21
26/01/2024,16961.39,16961.39
19/01/2024,16555.13,16555.13
12/01/2024,16704.56,16704.56
05/01/2024,16594.21,16594.21
29/12/2023,16751.64,16751.64
22/12/2023,16706.18,16706.18
15/12/2023,16751.44,16751.44
08/12/2023,16759.22,16759.22
01/12/2023,16397.52,16397.52
24/11/2023,16029.49,16029.49
17/11/2023,15919.16,15919.16
10/11/2023,15234.39,15234.39
03/11/2023,15189.25,15189.25
27/10/2023,14687.41,14687.41
20/10/2023,14798.47,14798.47
13/10/2023,15186.66,15186.66
06/10/2023,15229.77,15229.77
29/09/2023,15386.58,15386.58
22/09/2023,15557.29,15557.29
15/09/2023,15893.53,15893.53
08/09/2023,15744.75,15744.75
01/09/2023,15840.34,15840.34
25/08/2023,15631.82,15631.82
18/08/2023,15574.26,15574.26
11/08/2023,15832.17,15832.17
04/08/2023,15951.86,15951.86
28/07/2023,16469.75,16469.75
21/07/2023,16177.22,16177.22
14/07/2023,16105.07,16105.07
07/07/2023,15603.4,15603.4
30/06/2023,16147.9,16147.9
23/06/2023,15829.94,15829.94
16/06/2023,16357.63,16357.63
09/06/2023,15949.84,15949.84
02/06/2023,16051.23,16051.23
26/05/2023,15983.97,15983.97
19/05/2023,16275.38,16275.38
12/05/2023,15913.82,15913.82
05/05/2023,15961.02,15961.02
28/04/2023,15922.38,15922.38
21/04/2023,15881.66,15881.66
14/04/2023,15807.5,15807.5
07/04/2023,15597.89,15597.89
31/03/2023,15628.84,15628.84
24/03/2023,14957.23,14957.23
17/03/2023,14768.2,14768.2
10/03/2023,15427.97,15427.97
03/03/2023,15578.39,15578.39
