Security,GS US Equity,
Start Date,10/04/2020 00:00,
End Date,04/04/2025 00:00,
Period,W,
Currency,USD,
,,
Date,PX_LAST,PX_BID
04/04/2025,470.81,470.13
28/03/2025,543.12,543.05
21/03/2025,565.14,565.15
14/03/2025,541.41,541.29
07/03/2025,559.67,559.34
28/02/2025,622.29,622.23
21/02/2025,625.6,625.54
14/02/2025,660.55,660.57
07/02/2025,655.9,655.67
31/01/2025,640.4,639.84
24/01/2025,636.9,636.67
17/01/2025,625.94,626.16
10/01/2025,560,559.85
03/01/2025,580.13,579.93
27/12/2024,576.18,576.29
20/12/2024,566.1,566.35
13/12/2024,585.48,585.34
06/12/2024,599.68,599.5
29/11/2024,608.57,609.23
22/11/2024,602.78,602.79
15/11/2024,593.54,593.65
08/11/2024,589.26,589.26
01/11/2024,519.35,519.41
25/10/2024,512.6,512.48
18/10/2024,528.5,528.35
11/10/2024,516.3,516.39
04/10/2024,495.16,495.16
27/09/2024,498.51,498.48
20/09/2024,498.43,498.59
13/09/2024,478.99,479.18
06/09/2024,479.61,479.62
30/08/2024,510.25,510.07
23/08/2024,509.42,509.23
16/08/2024,504.26,504.24
09/08/2024,490.26,490.42
02/08/2024,470.64,470.05
26/07/2024,499.03,499.45
19/07/2024,484.93,484.91
12/07/2024,479.88,480.28
05/07/2024,464.75,464.59
28/06/2024,452.32,452.19
21/06/2024,450.18,450.3
14/06/2024,446.46,446.46
07/06/2024,454.91,454.87
31/05/2024,456.52,456.53
24/05/2024,461.18,461.33
17/05/2024,467.72,467.73
10/05/2024,454.73,454.49
03/05/2024,438.18,438.29
26/04/2024,427.57,427.57
19/04/2024,404,403.85
12/04/2024,389.49,389.64
05/04/2024,408.07,408.07
29/03/2024,417.69,417.59
22/03/2024,406.82,406.74
15/03/2024,387.21,387.2
08/03/2024,386.99,386.98
01/03/2024,388.1,387.94
23/02/2024,391.05,391.05
16/02/2024,384.44,384.33
09/02/2024,384.26,384.09
02/02/2024,387.86,387.63
26/01/2024,377.79,377.79
19/01/2024,382.2,382.17
12/01/2024,377.75,377.81
05/01/2024,386.44,386.47
29/12/2023,385.77,385.67
22/12/2023,380.65,380.83
15/12/2023,380.51,380.25
08/12/2023,350.83,350.78
01/12/2023,348.43,348.4
24/11/2023,339.15,338.95
17/11/2023,339.19,339.21
10/11/2023,325.51,325.61
03/11/2023,327.62,327.37
27/10/2023,289.91,289.79
20/10/2023,300.05,299.99
13/10/2023,309.3,309.3
06/10/2023,312.48,312.33
29/09/2023,323.57,323.64
22/09/2023,327.89,327.77
15/09/2023,342.54,342.47
08/09/2023,325.52,325.48
01/09/2023,327.4,327.39
25/08/2023,320.15,320.23
18/08/2023,324.93,324.9
11/08/2023,340.73,340.83
04/08/2023,353.22,353.46
28/07/2023,353.23,353.18
21/07/2023,351.96,351.82
14/07/2023,326.19,326.32
07/07/2023,315.17,315.06
30/06/2023,322.54,322.46
23/06/2023,314.71,314.72
16/06/2023,338.31,338.27
09/06/2023,336.02,336.06
02/06/2023,323.65,323.56
26/05/2023,332.01,331.78
19/05/2023,326.15,326.14
12/05/2023,319.5,319.5
05/05/2023,327.02,327.07
28/04/2023,343.44,343.47
21/04/2023,341.66,341.7
14/04/2023,336.92,336.88
07/04/2023,322.4,322.38
31/03/2023,327.11,326.98
24/03/2023,312.57,312.62
17/03/2023,303.54,303.28
10/03/2023,327.67,327.76
03/03/2023,357.09,357.04
24/02/2023,363.85,363.72
17/02/2023,368.5,368.62
10/02/2023,371.28,371.25
03/02/2023,369.95,369.78
27/01/2023,353.7,353.66
20/01/2023,341.84,341.91
13/01/2023,374,374
06/01/2023,348.08,347.96
30/12/2022,343.38,343.37
23/12/2022,345.51,345.59
16/12/2022,346.35,346.08
09/12/2022,359.14,359.28
02/12/2022,380.58,380.22
25/11/2022,388.86,388.55
18/11/2022,379.2,379.22
11/11/2022,385.17,385.16
04/11/2022,357.91,358.04
