Security,GOOGL US Equity,
Start Date,10/04/2020 00:00,
End Date,04/04/2025 00:00,
Period,W,
Currency,USD,
,,
Date,PX_LAST,PX_BID
04/04/2025,145.6,145.51
28/03/2025,154.33,154.32
21/03/2025,163.99,163.99
14/03/2025,165.49,165.42
07/03/2025,173.86,173.83
28/02/2025,170.28,170.29
21/02/2025,179.66,179.64
14/02/2025,185.23,185.16
07/02/2025,185.34,185.34
31/01/2025,204.02,204.01
24/01/2025,200.21,200.18
17/01/2025,196,195.99
10/01/2025,192.04,192.03
03/01/2025,191.79,191.74
27/12/2024,192.76,192.72
20/12/2024,191.41,191.42
13/12/2024,189.82,189.8
06/12/2024,174.71,174.68
29/11/2024,168.95,168.91
22/11/2024,164.76,164.74
15/11/2024,172.49,172.46
08/11/2024,178.35,178.4
01/11/2024,171.29,171.24
25/10/2024,165.27,165.27
18/10/2024,163.42,163.39
11/10/2024,163.24,163.23
04/10/2024,167.06,167.05
27/09/2024,163.95,163.9
20/09/2024,163.59,163.52
13/09/2024,157.46,157.47
06/09/2024,150.92,150.84
30/08/2024,163.38,163.29
23/08/2024,165.62,165.58
16/08/2024,162.96,162.97
09/08/2024,163.67,163.62
02/08/2024,166.66,166.64
26/07/2024,167,166.99
19/07/2024,177.66,177.72
12/07/2024,185.07,185.05
05/07/2024,190.6,190.59
28/06/2024,182.15,182.06
21/06/2024,179.63,179.49
14/06/2024,176.79,176.8
07/06/2024,174.46,174.44
31/05/2024,172.5,172.49
24/05/2024,174.99,174.96
17/05/2024,176.06,176.11
10/05/2024,168.65,168.61
03/05/2024,167.24,167.23
26/04/2024,171.95,171.9
19/04/2024,154.09,154.08
12/04/2024,157.73,157.76
05/04/2024,152.5,152.44
29/03/2024,150.93,150.8
22/03/2024,150.77,150.76
15/03/2024,141.18,141.24
08/03/2024,135.41,135.4
01/03/2024,137.14,137.11
23/02/2024,143.96,143.95
16/02/2024,140.52,140.5
09/02/2024,149,149.03
02/02/2024,142.38,142.37
26/01/2024,152.185,152.17
19/01/2024,146.38,146.37
12/01/2024,142.65,142.61
05/01/2024,135.73,135.71
29/12/2023,139.69,139.7
22/12/2023,141.49,141.5
15/12/2023,132.6,132.5
08/12/2023,134.99,134.96
01/12/2023,131.86,131.82
24/11/2023,136.69,136.66
17/11/2023,135.31,135.28
10/11/2023,132.59,132.6
03/11/2023,129.1,129.06
27/10/2023,122.17,122.17
20/10/2023,135.6,135.59
13/10/2023,137.36,137.34
06/10/2023,137.58,137.59
29/09/2023,130.86,130.81
22/09/2023,130.25,130.22
15/09/2023,137.4,137.41
08/09/2023,136.38,136.41
01/09/2023,135.66,135.66
25/08/2023,129.88,129.86
18/08/2023,127.46,127.45
11/08/2023,129.56,129.59
04/08/2023,128.11,128.14
28/07/2023,132.58,132.61
21/07/2023,120.02,119.97
14/07/2023,125.42,125.48
07/07/2023,119.48,119.45
30/06/2023,119.7,119.7
23/06/2023,122.34,122.37
16/06/2023,123.53,123.52
09/06/2023,122.23,122.25
02/06/2023,124.67,124.68
26/05/2023,124.61,124.6
19/05/2023,122.76,122.76
12/05/2023,117.51,117.51
05/05/2023,105.57,105.57
28/04/2023,107.34,107.33
21/04/2023,105.41,105.41
14/04/2023,108.87,108.87
07/04/2023,108.42,108.39
31/03/2023,103.73,103.66
24/03/2023,105.44,105.47
17/03/2023,101.62,101.62
10/03/2023,90.63,90.63
03/03/2023,93.65,93.65
24/02/2023,89.13,89.16
17/02/2023,94.35,94.34
10/02/2023,94.57,94.56
03/02/2023,104.78,104.74
27/01/2023,99.37,99.37
20/01/2023,98.02,97.98
13/01/2023,92.12,92.06
06/01/2023,87.34,87.32
30/12/2022,88.23,88.22
23/12/2022,89.23,89.21
16/12/2022,90.26,90.23
09/12/2022,92.83,92.78
02/12/2022,100.44,100.42
25/11/2022,97.46,97.47
18/11/2022,97.43,97.44
11/11/2022,96.41,96.38
