Security,TSLA US Equity,
Start Date,10/04/2020 00:00,
End Date,04/04/2025 00:00,
Period,W,
Currency,USD,
,,
Date,PX_LAST,PX_BID
04/04/2025,239.43,239.27
28/03/2025,263.55,263.47
21/03/2025,248.71,249.12
14/03/2025,249.98,249.97
07/03/2025,262.67,262.6
28/02/2025,292.98,293.31
21/02/2025,337.8,337.49
14/02/2025,355.84,355.78
07/02/2025,361.62,361.47
31/01/2025,404.6,404.51
24/01/2025,406.58,406.5
17/01/2025,426.5,426.47
10/01/2025,394.74,394.71
03/01/2025,410.44,410.77
27/12/2024,431.66,431.56
20/12/2024,421.06,420.6
13/12/2024,436.23,436.19
06/12/2024,389.22,389.38
29/11/2024,345.16,345.15
22/11/2024,352.56,352.61
15/11/2024,320.72,320.72
08/11/2024,321.22,321.26
01/11/2024,248.98,248.85
25/10/2024,269.19,269.11
18/10/2024,220.7,220.7
11/10/2024,217.8,217.69
04/10/2024,250.08,249.96
27/09/2024,260.46,260.45
20/09/2024,238.25,238.26
13/09/2024,230.29,230.28
06/09/2024,210.73,210.72
30/08/2024,214.11,214.14
23/08/2024,220.32,220.26
16/08/2024,216.12,216.12
09/08/2024,200,200.01
02/08/2024,207.67,207.59
26/07/2024,219.8,219.92
19/07/2024,239.2,239.15
12/07/2024,248.23,248.68
05/07/2024,251.52,251.4
28/06/2024,197.88,197.97
21/06/2024,183.01,182.99
14/06/2024,178.01,177.93
07/06/2024,177.48,177.4
31/05/2024,178.08,178.09
24/05/2024,179.24,179.3
17/05/2024,177.46,177.57
10/05/2024,168.47,168.46
03/05/2024,181.19,181.18
26/04/2024,168.29,168.24
19/04/2024,147.05,147.01
12/04/2024,171.05,171.06
05/04/2024,164.9,164.85
29/03/2024,175.79,175.76
22/03/2024,170.83,170.74
15/03/2024,163.57,163.59
08/03/2024,175.34,175.34
01/03/2024,202.64,202.6
23/02/2024,191.97,191.9
16/02/2024,199.95,199.96
09/02/2024,193.57,193.57
02/02/2024,187.91,187.82
26/01/2024,183.25,183.22
19/01/2024,212.19,212.13
12/01/2024,218.89,218.78
05/01/2024,237.49,237.43
29/12/2023,248.48,248.48
22/12/2023,252.54,252.53
15/12/2023,253.5,253.33
08/12/2023,243.84,243.72
01/12/2023,238.83,238.75
24/11/2023,235.45,235.52
17/11/2023,234.3,234.35
10/11/2023,214.65,214.67
03/11/2023,219.96,219.91
27/10/2023,207.3,207.29
20/10/2023,211.99,211.92
13/10/2023,251.12,251.12
06/10/2023,260.53,260.5
29/09/2023,250.22,250.23
22/09/2023,244.88,244.73
15/09/2023,274.39,274.36
08/09/2023,248.5,248.42
01/09/2023,245.01,244.92
25/08/2023,238.59,238.56
18/08/2023,215.49,215.42
11/08/2023,242.65,242.64
04/08/2023,253.86,253.85
28/07/2023,266.44,266.47
21/07/2023,260.02,259.94
14/07/2023,281.38,281.39
07/07/2023,274.43,274.43
30/06/2023,261.77,261.68
23/06/2023,256.6,256.52
16/06/2023,260.54,260.49
09/06/2023,244.4,244.38
02/06/2023,213.97,213.97
26/05/2023,193.17,193.15
19/05/2023,180.14,180.13
12/05/2023,167.98,167.98
05/05/2023,170.06,170.07
28/04/2023,164.31,164.31
21/04/2023,165.08,165.05
14/04/2023,185,184.99
07/04/2023,185.06,185.02
31/03/2023,207.46,207.45
24/03/2023,190.41,190.41
17/03/2023,180.13,180.1
10/03/2023,173.44,173.41
03/03/2023,197.79,197.86
24/02/2023,196.88,196.85
17/02/2023,208.31,208.31
10/02/2023,196.89,196.78
03/02/2023,189.98,189.96
27/01/2023,177.9,177.86
20/01/2023,133.42,133.38
13/01/2023,122.4,122.36
06/01/2023,113.06,113.01
30/12/2022,123.18,123.24
23/12/2022,123.15,123.09
16/12/2022,150.23,150.16
09/12/2022,179.05,179.02
02/12/2022,194.86,194.83
25/11/2022,182.86,182.86
18/11/2022,180.19,180.2
11/11/2022,195.97,195.88
